smiles,minimizedAffinity
Cc1cc(O)cc(C)c1/C=C/c1cncc(C(=O)N(C)C)c1,-8.33718586
Cc1ccc(O)cc1Nc1ccnc2ccc([S@SP](C)(=O)=O)cc12,-8.60449409
Nc1nc(-c2ccc3c(c2)/C(=C/c2cc(Br)c(O)c(Br)c2)C(=O)N3)cs1,-7.8253417
N[S@SP](=O)(=O)c1ccc(N/N=C2\C(=O)Nc3ccc([C][O])cc32)cc1.[CH2]C(C)(C)CO.[NH],-9.62793159
[CH2].[CH]OC(=O)N(C)C.[CH][CH2].[C].[C]c1cc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2s1.[NH],-11.0625305
COc1cc2ncn(-c3cc(OCc4ccccc4C(F)(F)F)c([C](C)[O])s3)c2cc1OC,-9.86400604
COc1ccc(C2=C3C(N)=N[CH]N=C3O[CH]2)cc1,-7.47200966
COc1cc2ncn(-c3cc(OCc4ccccc4C(F)(F)F)c(C(=O)N(C)C)s3)c2cc1OC,-9.21177959
CCn1c(-c2nonc2N)nc2[c]nccc21.[CH2]C.[O],-8.63902283
[CH2].[CH2].[CH2][S@SP](=O)(=O)c1ccccc1.[H]/[C]=C/[C](O[C])c1ccc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2c1.[NH],-6.78464603
C[CH]c1ccccc1Cl.C[N].[CH2].[CH2].[CH2].[CH2].[CH]COc1ccc2ncn(-c3cc([O])c(C(N)=O)s3)c2c1,-11.0995712
COc1c[c]ccc1NC1=N[C](Nc2cc(F)ccc2C(N)=O)c2cc[nH]c2[N]1.[CH2].[CH2].[CH2].[CH2].[CH2].[CH2]C.[CH].[N],-8.76062012
COc1ccc2ncnc(Nc3ccc(OCc4ccccc4)cc3)c2c1,-9.16838455
COc1cc(NC2=N[CH]c3c(C)nc(-c4cccc(Oc5ccccc5)c4)n3[N]2)cc(OC)c1OC,-9.43087864
N[CH]c1ccccc1.[CH2]C.[CH2]OC1=N[C](C#CC(C)(C)O)C([N][C]c2nonc2N)=[C][CH]1.[N],-10.9398947
Cc1cc(O)cc(C)c1/C=C/c1cncc(C(=O)OC(C)(C)C)c1,-7.97243834
[CH2].[CH2][NH].[CH2][S@SP](C)(=O)=O.[C]S/C=C(\[N])c1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2c1,-10.6975603
COc1cc(Nc2ncc(-c3ccccc3)o2)cc(OC)c1,-7.96907568
N[CH]c1ccccc1.[CH2]C.[CH2]OC1=N[C](C#CC(C)(C)O)C([N][C]c2nonc2N)=[C][CH]1.[N],-10.95574
[CH2].[CH3].[C].[O][C]Nc1n[nH]c2cc(-c3ccc(F)cc3)ccc12,-9.71265221
